Tahun,Bulan,Kode_Wilayah,Wilayah,CPPD_Ton
2025,31 Maret 2025,62,Kalimantan Tengah,"152,91"
2025,31 Maret 2025,63,Kalimantan Selatan,"344,43"
2025,31 Maret 2025,64,Kalimantan Timur,"506,32"
2025,31 Maret 2025,65,Kalimantan Utara,"82,73"
2025,31 Maret 2025,71,Sulawesi Utara,"196,57"
2025,31 Maret 2025,72,Sulawesi Tengah,"314,79"
2025,31 Maret 2025,73,Sulawesi Selatan,"109,37"
2025,31 Maret 2025,74,Sulawesi Tenggara,"192,16"
2025,31 Maret 2025,75,Gorontalo,"0,00"
2025,31 Maret 2025,76,Sulawesi Barat,"89,57"
2025,31 Maret 2025,81,Maluku,"86,11"
2025,31 Maret 2025,82,Maluku Utara,"0,00"
2025,31 Maret 2025,92,Papua Barat,"11,30"
2025,31 Maret 2025,91,Papua,"26,46"
2025,31 Maret 2025,94,Papua Tengah,"0,00"
2025,31 Maret 2025,95,Papua Pegunungan,"0,00"
2025,31 Maret 2025,93,Papua Selatan,"0,00"
2025,31 Maret 2025,96,Papua Barat Daya,"0,00"
2025,30 April 2025,11,Aceh,"187,10"
2025,30 April 2025,12,Sumatera Utara,"56,18"
2025,30 April 2025,13,Sumatera Barat,"116,66"
2025,30 April 2025,14,Riau,"85,10"
2025,30 April 2025,15,Jambi,"66,14"
2025,30 April 2025,16,Sumatera Selatan,"0,00"
2025,30 April 2025,17,Bengkulu,"67,40"
2025,30 April 2025,18,Lampung,"85,23"
2025,30 April 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,30 April 2025,21,Kepulauan Riau,"40,93"
2025,30 April 2025,31,DKI Jakarta,"0,00"
2025,30 April 2025,32,Jawa Barat,"2214,24"
2025,30 April 2025,33,Jawa Tengah,"87,89"
2025,30 April 2025,34,DI Yogyakarta,"305,30"
2025,30 April 2025,35,Jawa Timur,"135,69"
2025,30 April 2025,36,Banten,"443,52"
2025,30 April 2025,51,Bali,"395,69"
2025,30 April 2025,52,Nusa Tenggara Barat,"95,25"
2025,30 April 2025,53,Nusa Tenggara Timur,"28,01"
2025,30 April 2025,61,Kalimantan Barat,"207,52"
2025,30 April 2025,62,Kalimantan Tengah,"152,91"
2025,30 April 2025,63,Kalimantan Selatan,"344,43"
2025,30 April 2025,64,Kalimantan Timur,"506,32"
2025,30 April 2025,65,Kalimantan Utara,"82,73"
2025,30 April 2025,71,Sulawesi Utara,"131,83"
2025,30 April 2025,72,Sulawesi Tengah,"314,79"
2025,30 April 2025,73,Sulawesi Selatan,"109,37"
2025,30 April 2025,74,Sulawesi Tenggara,"192,16"
2025,30 April 2025,75,Gorontalo,"0,00"
2025,30 April 2025,76,Sulawesi Barat,"89,57"
2025,30 April 2025,81,Maluku,"79,59"
2025,30 April 2025,82,Maluku Utara,"0,00"
2025,30 April 2025,92,Papua Barat,"11,30"
2025,30 April 2025,91,Papua,"26,46"
2025,30 April 2025,94,Papua Tengah,"0,00"
2025,30 April 2025,95,Papua Pegunungan,"0,00"
2025,30 April 2025,93,Papua Selatan,"0,00"
2025,30 April 2025,96,Papua Barat Daya,"0,00"
2025,31 Mei 2025,11,Aceh,"187,10"
2025,31 Mei 2025,12,Sumatera Utara,"56,18"
2025,31 Mei 2025,13,Sumatera Barat,"116,66"
2025,31 Mei 2025,14,Riau,"85,10"
2025,31 Mei 2025,15,Jambi,"66,14"
2025,31 Mei 2025,16,Sumatera Selatan,"0,00"
2025,31 Mei 2025,17,Bengkulu,"67,40"
2025,31 Mei 2025,18,Lampung,"85,23"
2025,31 Mei 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,31 Mei 2025,21,Kepulauan Riau,"40,93"
2025,31 Mei 2025,31,DKI Jakarta,"0,00"
2025,31 Mei 2025,32,Jawa Barat,"2210,24"
2025,31 Mei 2025,33,Jawa Tengah,"66,49"
2025,31 Mei 2025,34,DI Yogyakarta,"305,30"
2025,31 Mei 2025,35,Jawa Timur,"135,69"
2025,31 Mei 2025,36,Banten,"443,52"
2025,31 Mei 2025,51,Bali,"395,69"
2025,31 Mei 2025,52,Nusa Tenggara Barat,"95,25"
2025,31 Mei 2025,53,Nusa Tenggara Timur,"28,01"
2025,31 Mei 2025,61,Kalimantan Barat,"207,52"
2025,31 Mei 2025,62,Kalimantan Tengah,"112,91"
2025,31 Mei 2025,63,Kalimantan Selatan,"344,43"
2025,31 Mei 2025,64,Kalimantan Timur,"506,32"
2025,31 Mei 2025,65,Kalimantan Utara,"82,73"
2025,31 Mei 2025,71,Sulawesi Utara,"131,83"
2025,31 Mei 2025,72,Sulawesi Tengah,"314,79"
2025,31 Mei 2025,73,Sulawesi Selatan,"109,37"
2025,31 Mei 2025,74,Sulawesi Tenggara,"192,16"
2025,31 Mei 2025,75,Gorontalo,"0,00"
2025,31 Mei 2025,76,Sulawesi Barat,"89,57"
2025,31 Mei 2025,81,Maluku,"79,59"
2025,31 Mei 2025,82,Maluku Utara,"0,00"
2025,31 Mei 2025,92,Papua Barat,"11,30"
2025,31 Mei 2025,91,Papua,"22,46"
2025,31 Mei 2025,94,Papua Tengah,"0,00"
2025,31 Mei 2025,95,Papua Pegunungan,"0,00"
2025,31 Mei 2025,93,Papua Selatan,"0,00"
2025,31 Mei 2025,96,Papua Barat Daya,"0,00"
2025,30 Juni 2025,11,Aceh,"187,10"
2025,30 Juni 2025,12,Sumatera Utara,"56,18"
2025,30 Juni 2025,13,Sumatera Barat,"141,86"
2025,30 Juni 2025,14,Riau,"85,10"
2025,30 Juni 2025,15,Jambi,"66,14"
2025,30 Juni 2025,16,Sumatera Selatan,"0,00"
2025,30 Juni 2025,17,Bengkulu,"51,40"
2025,30 Juni 2025,18,Lampung,"76,23"
2025,30 Juni 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,30 Juni 2025,21,Kepulauan Riau,"40,93"
2025,30 Juni 2025,31,DKI Jakarta,"0,00"
2025,30 Juni 2025,32,Jawa Barat,"2060,82"
2025,30 Juni 2025,33,Jawa Tengah,"33,39"
2025,30 Juni 2025,34,DI Yogyakarta,"305,30"
2025,30 Juni 2025,35,Jawa Timur,"135,69"
2025,30 Juni 2025,36,Banten,"443,52"
2025,30 Juni 2025,51,Bali,"395,69"
2025,30 Juni 2025,52,Nusa Tenggara Barat,"95,25"
2025,30 Juni 2025,53,Nusa Tenggara Timur,"28,01"
2025,30 Juni 2025,61,Kalimantan Barat,"207,52"
2025,30 Juni 2025,62,Kalimantan Tengah,"112,91"
2025,30 Juni 2025,63,Kalimantan Selatan,"344,43"
2025,30 Juni 2025,64,Kalimantan Timur,"506,32"
2025,30 Juni 2025,65,Kalimantan Utara,"82,73"
2025,30 Juni 2025,71,Sulawesi Utara,"111,28"
2025,30 Juni 2025,72,Sulawesi Tengah,"314,79"
2025,30 Juni 2025,73,Sulawesi Selatan,"109,37"
2025,30 Juni 2025,74,Sulawesi Tenggara,"192,16"
2025,30 Juni 2025,75,Gorontalo,"24,00"
2025,30 Juni 2025,76,Sulawesi Barat,"89,57"
2025,30 Juni 2025,81,Maluku,"72,59"
2025,30 Juni 2025,82,Maluku Utara,"12,75"
2025,30 Juni 2025,92,Papua Barat,"9,80"
2025,30 Juni 2025,91,Papua,"20,46"
2025,30 Juni 2025,94,Papua Tengah,"0,00"
2025,30 Juni 2025,95,Papua Pegunungan,"0,00"
2025,30 Juni 2025,93,Papua Selatan,"0,00"
2025,30 Juni 2025,96,Papua Barat Daya,"0,00"
2025,31 Juli 2025,11,Aceh,"187,10"
2025,31 Juli 2025,12,Sumatera Utara,"56,18"
2025,31 Juli 2025,13,Sumatera Barat,"141,86"
2025,31 Juli 2025,14,Riau,"85,10"
2025,31 Juli 2025,15,Jambi,"66,14"
2025,31 Juli 2025,16,Sumatera Selatan,"0,00"
2025,31 Juli 2025,17,Bengkulu,"51,40"
2025,31 Juli 2025,18,Lampung,"76,23"
2025,31 Juli 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,31 Juli 2025,21,Kepulauan Riau,"40,93"
2025,31 Juli 2025,31,DKI Jakarta,"0,00"
2025,31 Juli 2025,32,Jawa Barat,"2054,82"
2025,31 Juli 2025,33,Jawa Tengah,"31,39"
2025,31 Juli 2025,34,DI Yogyakarta,"305,30"
2025,31 Juli 2025,35,Jawa Timur,"828,15"
2025,31 Juli 2025,36,Banten,"443,52"
2025,31 Juli 2025,51,Bali,"395,69"
2025,31 Juli 2025,52,Nusa Tenggara Barat,"95,25"
2025,31 Juli 2025,53,Nusa Tenggara Timur,"28,01"
2025,31 Juli 2025,61,Kalimantan Barat,"151,45"
2025,31 Juli 2025,62,Kalimantan Tengah,"112,91"
2025,31 Juli 2025,63,Kalimantan Selatan,"344,43"
2025,31 Juli 2025,64,Kalimantan Timur,"506,32"
2025,31 Juli 2025,65,Kalimantan Utara,"82,73"
2025,31 Juli 2025,71,Sulawesi Utara,"111,28"
2025,31 Juli 2025,72,Sulawesi Tengah,"314,79"
2025,31 Juli 2025,73,Sulawesi Selatan,"109,37"
2025,31 Juli 2025,74,Sulawesi Tenggara,"192,16"
2025,31 Juli 2025,75,Gorontalo,"24,00"
2025,31 Juli 2025,76,Sulawesi Barat,"89,57"
2025,31 Juli 2025,81,Maluku,"54,99"
